Locations {
 l0 5.13153412201081 2.783990119811339;
 l1 52.00252701049408 211.19770754981658;
 l2 215.06927913437622 409.41821293395253;
 l3 87.23684963382392 534.9026484017551;
 l4 241.019586512101 67.46942779824928;
 l5 249.0312851037094 332.12849722354053;
 l6 291.9537616850616 369.8437244258776;
 l7 234.4284585094849 548.5437371532998;
 l8 522.5282897938146 121.99711791420413;
 l9 604.5610781842939 338.05333097917435;
 l10 686.7795892124631 503.0715475924015;
 l11 655.5519264656591 679.7843944480916;
 l12 896.1700616977083 28.876933542530413;
 l13 844.1026772348652 311.7847553452697;
 l14 921.3039447665692 449.7386786772066;
 l15 770.4091002688139 620.330908797883;
 l16 137.12489428258905 68.05089827933573;
 l17 61.964035147248104 235.78420389727225;
 l18 193.75711804862382 353.7509217658732;
 l19 188.7732139322213 617.7673504795763;
 l20 249.9685498822561 125.7026526989784;
 l21 327.0696222614713 347.53142638488447;
 l22 309.132759011504 376.8507013523491;
 l23 378.80311959444936 580.2956797916811;
 l24 519.6633756870616 36.03912009036881;
 l25 568.3627956822114 229.51229575921565;
 l26 580.3377691004248 422.3362355181475;
 l27 580.6592902819383 604.8070266085592;
 l28 805.0697503073483 138.75459586555144;
 l29 877.322188020002 322.16447520363965;
 l30 771.9549493830197 475.66505279908364;
 l31 856.7419406896307 615.1580525493417;
 l32 209.4323189865571 13.488047903395476;
 l33 213.44567936476426 188.95783220564226;
 l34 75.9825136408742 490.45504462067197;
 l35 167.72893189007155 638.5860944531032;
 l36 312.8061417041603 172.67598339238913;
 l37 303.9879713266766 248.82773423075395;
 l38 304.1790073577685 398.98919755013907;
 l39 284.91060701508917 583.6049846961084;
 l40 513.0176950522808 13.55065909317377;
 l41 482.9568255231729 344.48881181214864;
 l42 515.1538512380165 451.32246626850406;
 l43 680.2989700137333 628.3943862431422;
 l44 888.7584491823781 114.57468014173269;
 l45 828.0779468980321 310.7323658959476;
 l46 706.8885124034006 394.2797106369705;
 l47 766.1152881308814 695.6169495491096;
 l48 69.67451028232269 166.79133432876682;
 l49 154.3624363761745 191.4532149466605;
 l50 173.68003587862586 456.76030125732603;
 l51 110.36705224979725 572.2828440213985;
 l52 258.9889961343645 99.97877469787741;
 l53 358.27659927536365 319.3520035988817;
 l54 358.7508156221131 516.2282285692844;
 l55 256.94693236004616 661.2993400171364;
 l56 612.0281845843045 5.488225188346124;
 l57 564.9445760220341 219.46738819993485;
 l58 625.5321645203138 441.1876868126387;
 l59 617.2116826445173 558.5833325147056;
 l60 918.9941253831926 75.78141796664259;
 l61 780.0026473227705 253.0694474923903;
 l62 716.8833448780377 433.88650454548;
 l63 707.188960785847 589.5818400261218;
 l64 131.47334449319308 52.862263407218364;
 l65 179.6614205805744 336.23708864749597;
 l66 28.688597581137376 407.49413625275355;
 l67 47.17353869086997 553.0555520365695;
 l68 275.8671401989888 85.1822813299843;
 l69 290.79567451340694 175.45127082576346;
 l70 348.44021867731755 435.50504062665243;
 l71 283.20430015649777 698.9697463157873;
 l72 650.1101618854852 166.32812498157594;
 l73 601.0469756204379 327.46164511740943;
 l74 640.5634811264645 357.95822965885014;
 l75 637.81209924737 641.5695496649238;
 l76 840.5634201967528 57.38324177331202;
 l77 905.6419281105779 180.99972006654366;
 l78 802.7059362074524 503.594093013017;
 l79 718.1014235480657 619.1812320971233;
 l80 99.24719926908313 72.20523167540797;
 l81 41.50949424326955 299.69716932432635;
 l82 98.69525545295572 433.339984429895;
 l83 37.36970348673023 682.8755059794318;
 l84 381.5894037602461 54.28886573747722;
 l85 247.78435875016862 224.20890416502112;
 l86 460.95564717040725 503.290801350277;
 l87 424.76532316569256 691.966591080114;
 l88 510.71835499135597 7.725138721226238;
 l89 479.1020900065321 325.16876071612705;
 l90 624.4918288745472 362.6246398167866;
 l91 565.9080953337764 595.7775224314943;
 l92 758.3640957171702 84.10579631848633;
 l93 719.6572089026969 324.67582680886477;
 l94 836.8596421907172 490.9542300951124;
